ID,ID salarié,Date de début de l'activité,Message Slack
1,56482,2025-07-25 09:15:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 73 min ! 💪 (""Bonne séance."")"
2,56482,2025-07-27 07:37:00,Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 99 min ! 💪
3,56482,2025-07-31 07:05:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 72 min ! 💪 (""Bonne séance."")"
4,56482,2025-08-01 17:38:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 48 min ! 💪 (""Bonne séance."")"
5,56482,2025-08-07 12:14:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 102 min ! 💪 (""Entraînement terminé."")"
6,56482,2025-08-08 19:55:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 45 min ! 💪 (""Bonne séance."")"
7,56482,2025-08-09 18:27:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 88 min ! 💪 (""Entraînement terminé."")"
8,56482,2025-08-11 19:21:00,Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 58 min ! 💪
9,56482,2025-08-17 19:22:00,Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 78 min ! 💪
10,56482,2025-08-19 18:29:00,Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 113 min ! 💪
11,56482,2025-08-24 09:53:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 91 min ! 💪 (""Bonne séance."")"
12,56482,2025-08-28 18:04:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 50 min ! 💪 (""Bonne séance."")"
13,56482,2025-08-31 19:06:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 93 min ! 💪 (""Entraînement terminé."")"
14,56482,2025-09-01 12:40:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 91 min ! 💪 (""Bonne séance."")"
15,56482,2025-09-08 18:17:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 54 min ! 💪 (""Bonne séance."")"
16,56482,2025-09-09 17:46:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 76 min ! 💪 (""Bonne séance."")"
17,56482,2025-09-16 18:44:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 116 min ! 💪 (""Bonne séance."")"
18,56482,2025-09-17 18:20:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 52 min ! 💪 (""Bonne séance."")"
19,56482,2025-09-27 09:25:00,Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 79 min ! 💪
20,56482,2025-10-02 18:20:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 72 min ! 💪 (""Très bonnes sensations."")"
21,56482,2025-10-08 08:16:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 62 min ! 💪 (""Bonne séance."")"
22,56482,2025-10-10 18:35:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 113 min ! 💪 (""Entraînement terminé."")"
23,56482,2025-10-15 12:23:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 73 min ! 💪 (""Bonne séance."")"
24,56482,2025-10-16 17:31:00,Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 56 min ! 💪
25,56482,2025-10-18 19:07:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 64 min ! 💪 (""Bonne séance."")"
26,56482,2025-10-19 12:24:00,"Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 104 min ! 💪 (""Entraînement terminé."")"
27,56482,2025-10-22 17:55:00,Bravo Michelle Dumont ! Tu viens de terminer une activité de Tennis de 46 min ! 💪
